exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,lot_size,tick_size,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,10452,764TN29,NSE-764TN29,764TNSDL29,EQ,CASH,SG,IN3120220089,100.0,0.01,0,1,764TN29-SG,0
NSE,15168,764IRFC31,NSE-764IRFC31,764IRFC31,EQ,CASH,NO,INE053F07900,1.0,0.01,0,1,764IRFC31-NO,0
NSE,19928,764HUDCO31,NSE-764HUDCO31,764HUDCO31,EQ,CASH,N8,INE031A07AO5,1.0,0.01,0,1,764HUDCO31-N8,0
NSE,20034,764NABAR31,NSE-764NABAR31,764NABARD31,EQ,CASH,N2,INE261F07032,1.0,0.01,0,1,764NABAR31-N2,0
NSE,11984,767KA32,NSE-767KA32,767KARSDL32,EQ,CASH,SG,IN1920220028,100.0,0.01,0,1,767KA32-SG,0
NSE,14529,769NHAI31,NSE-769NHAI31,769NHAI31,EQ,CASH,NE,INE906B07EP5,1.0,0.01,0,1,769NHAI31-NE,0
NSE,10720,76TN32,NSE-76TN32,760TMN32,EQ,CASH,SG,IN3120220139,100.0,0.01,0,1,76TN32-SG,0
NSE,19930,769HUDCO31,NSE-769HUDCO31,769HUDCO31,EQ,CASH,N9,INE031A07AT4,1.0,0.01,0,1,769HUDCO31-N9,0
NSE,12003,76NHAI31,NSE-76NHAI31,76NHAI31,EQ,CASH,,INE906B07EJ8,1.0,0.01,0,1,76NHAI31-NA,0
NSE,3425,76IGT26,NSE-76IGT26,76IGT26,EQ,CASH,ND,INE219X07207,1.0,0.01,0,1,76IGT26-ND,0
NSE,21934,76MH30,NSE-76MH30,76MHSDL30,EQ,CASH,SG,IN2220200025,100.0,0.01,0,1,76MH30-SG,0
NSE,9888,769GS2043,NSE-769GS2043,769GOI2043,EQ,CASH,GS,IN0020190040,1.0,0.01,0,1,769GS2043-GS,0
NSE,3451,769IGT28,NSE-769IGT28,769IGT28,EQ,CASH,NH,INE219X07249,1.0,0.01,0,1,769IGT28-NH,0
NSE,9724,772MH34,NSE-772MH34,772MAHSDL34,EQ,CASH,SG,IN2220220072,100.0,0.01,0,1,772MH34-SG,0
NSE,3470,772IGT31,NSE-772IGT31,772IGT31,EQ,CASH,NK,INE219X07272,1.0,0.01,0,1,772IGT31-NK,0
NSE,9604,772GS2049,NSE-772GS2049,772GS2049,EQ,CASH,GS,IN0020190032,1.0,0.01,0,1,772GS2049-GS,0
NSE,10648,773GJ32,NSE-773GJ32,773GUJSDL32,EQ,CASH,SG,IN1520220089,100.0,0.01,0,1,773GJ32-SG,0
NSE,21049,773GJ29,NSE-773GJ29,773GJSDL29,EQ,CASH,SG,IN1520200016,100.0,0.01,0,1,773GJ29-SG,0
NSE,11400,775GJ32,NSE-775GJ32,775GUJSDL32,EQ,CASH,SG,IN1520220105,100.0,0.01,0,1,775GJ32-SG,0
NSE,20030,774IREDA31,NSE-774IREDA31,774IREDA31,EQ,CASH,N7,INE202E07229,1.0,0.01,0,1,774IREDA31-N7,0
NSE,11678,778MH30,NSE-778MH30,778MAHSDL30,EQ,CASH,SG,IN2220220148,100.0,0.01,0,1,778MH30-SG,0
NSE,3428,77IGT28,NSE-77IGT28,77IGT28,EQ,CASH,NE,INE219X07215,1.0,0.01,0,1,77IGT28-NE,0
NSE,9928,785AP37,NSE-785AP37,785APSDL37,EQ,CASH,SG,IN1020220225,100.0,0.01,0,1,785AP37-SG,0
NSE,10532,785KL35,NSE-785KL35,785KERSDL35,EQ,CASH,SG,IN2020220025,100.0,0.01,0,1,785KL35-SG,0
NSE,10196,782GJ32,NSE-782GJ32,782GJSDL32,EQ,CASH,SG,IN1520220030,100.0,0.01,0,1,782GJ32-SG,0
NSE,3476,797IGT31,NSE-797IGT31,797IGT31,EQ,CASH,NL,INE219X07280,1.0,0.01,0,1,797IGT31-NL,0
NSE,10367,78GJ32A,NSE-78GJ32A,78GUJSDL32,EQ,CASH,SG,IN1520220055,100.0,0.01,0,1,78GJ32A-SG,0
NSE,3457,795IGT31,NSE-795IGT31,795IGT31,EQ,CASH,NI,INE219X07256,1.0,0.01,0,1,795IGT31-NI,0
NSE,3433,79IGT28,NSE-79IGT28,79IGT28,EQ,CASH,NF,INE219X07223,1.0,0.01,0,1,79IGT28-NF,0
NSE,755944,805ABCL28,NSE-805ABCL28,ABFL-8.05%-9-10-28-NCD,EQ,CASH,N5,INE860H07IT4,1.0,0.01,0,1,805ABCL28-N5,0
NSE,19924,812REC27,NSE-812REC27,812REC27,EQ,CASH,NI,INE020B07GH7,1.0,0.01,0,1,812REC27-NI,0
NSE,9871,804AP41,NSE-804AP41,804APSDL41,EQ,CASH,SG,IN1020220191,100.0,0.01,0,1,804AP41-SG,0
